Team,Season,SeasonType,Win,Loss,MatchCount,WinPercentage,Pts,OppPts,Pace,OffEff,DefEff,EFgPercentage,OppEFgPercentage,TsPercentage,OppTsPercentage,RebRate,EffPts,OppEffPts,FastBreakPts,OppFBPts,PointsInPaint,OppPointsInPaint,PointsOffTO,OppPointsOffTO,SecondChancePTS,OppSecondChancePTS,PersonalFoulsPG,OppPersonalFoulsPG,ShootingFoulsPG,ShootingFoulsDrawnPG,LessThnEightFeedUsage,EightToSixteenFeedUsage,SixteenToTwentyFourFeetUsage,TwentyFourPlusFeetUsage,AvgShotDistance,OppAvgShotDistance,AvgMadeShotDistance,OppMadeAvgShotDis
Los Angeles Lakers,2017,REG,35,47,82,0.426829268,108.07,109.62,99.36,107.54,109,0.517,0.515,0.548,0.549,50.85,120.96,123.87,17.54,12.72,51.85,49,18.23,16.33,14.15,13.48,21.195,20.5,11.976,12.451,45.72,11.83,9.51,32.66,12.42,12.91,9.62,10.34
Memphis Grizzlies,2017,REG,22,60,82,0.268292683,99.33,105.54,94.15,105.37,111.84,0.5,0.529,0.539,0.573,48.82,108.73,120,13.17,14.27,42.32,42.1,17.32,17.04,11.71,11.8,23.171,20.415,14.207,11.427,41.69,13.45,13.19,31.28,12.79,13.29,10.44,10.78
Miami Heat,2017,REG,44,38,82,0.536585366,103.42,102.94,94.65,107.89,107.04,0.52,0.507,0.551,0.548,50.19,117.52,114.39,9.29,10.93,44.93,43.54,15.6,16.49,11.28,11.77,20.098,19.354,12.037,10.573,40.81,12.95,10.43,35.52,13.21,12.67,10.68,10.63
Milwaukee Bucks,2017,REG,44,38,82,0.536585366,106.48,106.78,95.5,110.65,110.99,0.531,0.528,0.571,0.568,48.28,122.18,120.38,14.65,10.06,47.37,47.32,15.78,18.21,10.56,13.07,21.366,19.902,12.78,12.354,42.36,15.21,12.75,29.47,12.39,12.51,9.87,10.02
Minnesota Timberwolves,2017,REG,47,35,82,0.573170732,109.51,107.27,95.44,114.02,111.81,0.523,0.539,0.566,0.573,50.12,125.2,120.65,9.67,12.93,49.22,45.71,15.24,17.71,13.62,13.02,18.232,20.866,10.744,12.817,41.77,17.13,15.02,25.89,12.29,13.13,9.94,10.52
New Orleans Pelicans,2017,REG,48,34,82,0.585365854,109.07,107.45,98.6,109.15,107.22,0.542,0.512,0.574,0.546,49.34,129.11,119.94,15.09,14.04,52.2,47.61,17.2,16.23,11.89,13.79,18.622,19.768,10.926,11.247,43.28,13.96,10.95,31.6,12.51,13.23,9.96,10.79
New York Knicks,2017,REG,29,53,82,0.353658537,104.46,108.01,96.24,107.72,111.37,0.51,0.522,0.544,0.559,50.5,118.35,123.02,8.6,11.43,46.71,43.41,17.35,15.07,13.37,13.18,20.512,18.402,12.256,10.317,39.18,18.32,15.88,26.3,12.67,13.33,10.37,11.14
Oklahoma City Thunder,2017,REG,48,34,82,0.585365854,107.83,104.39,96,111.47,108.12,0.514,0.525,0.546,0.56,51.64,119.79,116.62,15.2,11.17,43.93,43.49,14.37,18.68,14.96,12.84,20.171,21.342,10.939,12.878,38.66,13.05,13.85,34.13,13.25,13.08,10.64,10.66
Orlando Magic,2017,REG,25,57,82,0.304878049,103.4,108.22,97.27,106.04,110.95,0.512,0.524,0.545,0.558,47.62,114.99,126.17,12.65,12.94,45.59,48.27,17.04,15.51,10.88,12.77,19.268,18.988,11.329,10.939,39.69,14.98,11.26,33.88,13.3,12.77,10.78,10.33
Philadelphia 76ers,2017,REG,52,30,82,0.634146341,109.79,105.31,99.12,110.21,105.64,0.535,0.492,0.568,0.532,52.93,130.46,112.98,11.45,10.3,47.2,41.56,18.41,16.79,13.76,12.18,22.11,20.39,13.72,12.061,40.3,14.55,10.72,34.15,13.34,13.65,10.81,11.3
Phoenix Suns,2017,REG,21,61,82,0.256097561,103.9,113.28,99.48,104.31,113.91,0.495,0.532,0.532,0.569,49.03,110.82,131.39,14.35,14.6,46.07,47.07,18.61,14.99,12.94,13.15,22.037,20.915,12.732,12.549,42.03,15.31,10.63,31.79,12.48,12.96,9.87,10.64
Portland Trailblazers,2017,REG,49,33,82,0.597560976,105.61,103.02,95.75,109.89,107.45,0.511,0.503,0.549,0.539,51.45,117.82,113.23,8.06,11.26,43.05,42.1,14.8,14.06,13.59,11.74,19.5,19.073,11.695,10.695,40.36,14.5,12.7,32.37,13.02,12.94,11.11,11.16
Sacramento Kings,2017,REG,27,55,82,0.329268293,98.81,105.82,94.17,104.53,111.98,0.502,0.542,0.529,0.576,48.33,108.27,123.31,10.44,12.3,43.51,42.2,15.68,15.26,11.44,11.61,19.988,17.342,11.585,9.012,39.32,16.92,16.02,27.34,12.87,13.79,10.99,11.39
San Antonio Spurs,2017,REG,47,35,82,0.573170732,102.73,99.84,94.42,108.53,105.68,0.507,0.507,0.543,0.539,50.95,119.23,111.39,10.26,12.44,43.78,44.1,14.91,16.23,13.29,12.16,17.183,19.756,10.049,11.073,38.47,18.93,14.4,27.92,12.71,12.83,10.44,10.56
Toronto Raptors,2017,REG,59,23,82,0.719512195,111.65,103.88,96.62,114.68,106.82,0.539,0.501,0.575,0.541,50.91,130.29,113.73,13.28,11.57,48.63,45.32,15.02,17.21,12.94,13.17,21.756,19.927,12.634,11.817,42.18,12.65,7.5,37.33,13.19,12.24,10.53,10.21
Utah Jazz,2017,REG,48,34,82,0.585365854,104.13,99.84,95.05,109.14,104.35,0.527,0.506,0.564,0.543,50.96,120.06,109.38,10.16,9.55,44.37,41.78,16.41,16.88,11.28,10.85,19.61,20.524,10.854,11.476,40.13,13.42,10.8,35.43,13.24,13.1,10.86,11.02
Washington Wizards,2017,REG,43,39,82,0.524390244,106.61,106,96.18,109.87,109.32,0.525,0.522,0.56,0.56,50.33,122.37,117.88,11.59,10.98,42.27,45.44,17.18,17.24,12.61,13.07,21.293,19.988,12.573,11.683,35.51,18.63,14.95,30.67,13.45,13.34,11.34,10.53
Atlanta Hawks,2016,REG,43,39,82,0.524390244,103.16,104.01,96.71,105.59,106.72,0.504,0.507,0.541,0.541,50.26,115.88,117.63,12.12,12.78,42.73,39.15,17.38,16.33,13.48,13.21,18.183,21.561,10.171,12.988,41.79,12.24,15.13,30.61,12.51,13.71,10.18,11.71
Boston Celtics,2016,REG,53,29,82,0.646341463,108.01,105.38,95.96,112.13,109.46,0.525,0.503,0.567,0.545,48.52,123.31,118.92,14,14.04,45.9,45.02,19.15,15.05,11.52,14.34,21.049,20.378,12.549,12.622,44.64,11.31,6.97,36.75,12.74,12.83,10.19,10.83
Brooklyn Nets,2016,REG,20,62,82,0.243902439,105.77,112.5,100.47,104.87,111.52,0.507,0.513,0.551,0.552,48.21,114.5,130,12.39,12.22,41.78,43.22,15.18,16.35,11.17,13.94,20.561,20.293,12.537,11.732,40.01,9.61,11.11,38.92,13.78,13.03,11.28,10.53
Charlotte Hornets,2016,REG,36,46,82,0.43902439,104.89,104.7,94.66,109.97,109.71,0.501,0.523,0.547,0.554,49.54,120.23,122.16,9.41,12.87,39.88,40.49,13.06,14.87,11.8,11.43,16.585,19.89,9.659,12.171,37.87,13.45,15.18,33.27,13.41,13.64,11.09,11.48
Chicago Bulls,2016,REG,41,41,82,0.5,102.87,102.44,94.99,107.74,107.5,0.487,0.507,0.53,0.54,51.74,118.38,116.84,13.79,13.72,43.27,45.24,15.45,15.65,15.15,11.91,17.744,18.793,10.159,11.72,41.01,15.48,17.9,25.46,12.36,12.4,10.19,10.2
Cleveland Cavaliers,2016,REG,51,31,82,0.62195122,110.34,107.16,95.41,114.49,110.89,0.547,0.516,0.58,0.549,49.73,123.27,122.85,12.88,13.34,39.49,44.51,16.65,14.66,11.51,13.68,18.122,20.61,10.378,12.134,36.98,11.7,11.46,39.71,13.98,12.87,11.69,10.6
Dallas Mavericks,2016,REG,33,49,82,0.402439024,97.92,100.84,91.85,106.06,109.39,0.505,0.529,0.541,0.568,46.43,107.49,114.98,7.78,13.63,32.78,39.54,14,15.72,9.85,11.6,19.11,19.402,11.012,9.098,30.06,14.36,18.95,36.33,14.89,13.22,12.68,10.94
Denver Nuggets,2016,REG,40,42,82,0.487804878,111.72,111.21,97.59,114.04,113.63,0.53,0.532,0.568,0.567,53.2,127.81,126.76,14.17,14.32,49.83,47.41,17.96,14.05,15.07,12.28,19.11,20.159,11.171,12.427,46.16,10.16,10.76,32.63,12.32,12.74,9.98,10.55
Detroit Pistons,2016,REG,37,45,82,0.451219512,101.33,102.45,94.17,106.92,107.91,0.492,0.516,0.521,0.554,51.58,113.17,117.98,11.99,10.7,43.15,41.2,12.78,14.87,13.7,10.15,17.89,17.488,10.939,10.159,39.34,18.71,15.69,25.83,12.58,12.92,10.3,10.81
Golden State Warriors,2016,REG,67,15,82,0.817073171,115.89,104.26,98.97,116.5,104.7,0.563,0.486,0.597,0.525,50.53,143.83,112.17,22.57,14.41,46.63,45.44,16.74,19.34,12.57,13.98,19.329,19.366,11.707,11.598,37.93,13.27,12.93,35.4,13.68,12.77,11.12,10.19
Houston Rockets,2016,REG,55,27,82,0.670731707,115.34,109.57,99.34,115.53,109.9,0.545,0.519,0.583,0.556,50.17,129.79,124.28,16.71,14.27,46.71,49,17.49,18.67,14.26,13.84,19.927,20.415,11.329,12.927,42.46,6.31,5.05,45.93,13.96,12.94,10.93,10.05
Indiana Pacers,2016,REG,42,40,82,0.512195122,105.1,105.32,95.47,109.12,109.34,0.516,0.512,0.558,0.555,48.69,120.04,119.29,10.65,10.57,41.88,39.71,16.22,16.65,11.44,12.93,19.476,19.5,12.207,11.122,39.27,14.15,19.51,26.74,12.98,13.67,11.06,11.37
Los Angeles Clippers,2016,REG,51,31,82,0.62195122,108.67,104.38,95.55,113.3,109.03,0.537,0.506,0.574,0.546,49.94,123.22,116.06,13.91,14.28,39.93,42.71,15.26,15.29,11.34,12.73,19.829,22.378,11.878,13.354,37.62,10.02,19.75,32.33,13.78,13.17,11.51,10.66
Los Angeles Lakers,2016,REG,26,56,82,0.317073171,104.57,111.45,98.01,106.56,113.57,0.501,0.542,0.537,0.577,49.48,112.99,131.34,15.2,16.2,47.73,47.44,17.98,17.39,13.55,13.26,20.707,18.537,12.683,11.659,44.76,14.24,11.78,28.96,12.06,12.77,9.75,10.27
Memphis Grizzlies,2016,REG,43,39,82,0.524390244,100.48,99.99,91.6,108.45,107.7,0.491,0.506,0.535,0.552,50.39,112,109.96,10.2,14.62,40.46,37.76,14.87,16.12,13.05,11.54,22.439,20.829,13.805,11.976,41.96,12.01,14.42,31.09,13,13.58,10.88,11.18
Miami Heat,2016,REG,41,41,82,0.5,103.17,102.11,94.2,108.97,107.51,0.512,0.496,0.541,0.54,50.02,115.22,112.5,11.15,10.29,45.15,44.46,13.93,15.94,13.59,12.84,20.488,18.659,12.256,10.793,41.45,14.04,13.13,31.14,12.57,12.04,10.39,9.99
Milwaukee Bucks,2016,REG,42,40,82,0.512195122,103.62,103.81,93.77,109.95,109.89,0.527,0.518,0.565,0.557,48.76,120,118.11,13.78,11.72,48.63,43.66,16.23,17.29,11.09,12.68,20.244,19.256,12.085,11.841,49.44,10.92,10.8,28.64,11.37,12.67,8.98,10.12
